kommunenummer;gaardsnummer;bruksnummer;festenummer;bruksnavn;gjeldende_jordbruksareal;gjeldende_produktiv_skog;gjeldende_annet_areal;gjeldende_fulldyrket;gjeldende_overflatedyrket;gjeldende_innmarksbeite;lbe_id
"1122";55;11;0;"STORVOLDEN";32.6;28.5;40.0;15.5;0.0;17.1;"185789"
"1122";55;7;0;"FRAFJORD";69.5;6.8;12.0;64.9;4.6;0.0;"99398"
"1122";55;6;0;"FRAFJORD";70.3;4.0;17.0;65.6;0.0;4.7;"125668"
"1122";55;16;0;"SANDVOLD";31.5;0.0;9.0;31.5;0.0;0.0;"31650"
"1122";56;2;0;"KOMMEDAL";176.2;47.0;129.0;78.1;0.0;98.1;"185792"
"4224";1;26;0;"DERHEIME";86.8;264.0;3668.0;47.3;0.0;39.5;"206120"
"4226";4;3;0;"FIDJAN";24.1;50.0;5.0;23.9;0.0;0.2;"193859"
"4226";4;4;0;"SNARTEMO NEDRE";56.2;0.0;0.0;30.1;0.0;26.1;"193860"
"4225";86;2;0;"HINDERSLAND";28.4;432.0;43.0;23.3;0.0;5.1;"95462"
"1122";57;2;0;"MOLAU";88.5;42.0;21.0;46.9;0.2;41.4;"206256"
"1122";58;2;0;"HÅLAND";53.4;178.0;164.0;25.1;0.0;28.3;"185727"
"3405";167;1;0;"JØRSTAD ØVRE";39.3;68.0;4.0;39.0;0.0;0.3;"127042"
"3112";92;229;0;"SOLSTAD";0.0;0.0;1.0;0.0;0.0;0.0;"243372"
"1122";18;1;0;"VØLSTAD";544.2;252.0;1158.0;76.2;0.0;468.0;"185807"
"3436";253;16;0;"ÅBORKROKEN";0.0;0.0;87.7;0.0;0.0;0.0;"125637"
"3451";114;15;0;"ØVRE FLÅSTØLEN";0.0;128.0;0.0;0.0;0.0;0.0;"244177"
"1122";55;18;0;"FRAFJORD";48.5;0.0;10.0;38.6;4.9;5.0;"31647"
"1122";19;2;0;"MATLAND";201.3;611.7;3358.0;33.9;0.0;167.4;"232926"
"1122";15;2;0;"HAUGEMORKEN";705.2;809.0;1113.0;68.0;0.2;637.0;"185802"
"3405";8;1;0;"HAUGER";97.7;2390.0;246.0;75.1;0.0;22.6;"11750"
"1124";25;18;0;"SØRHEIM";170.0;0.0;18.0;170.0;0.0;0.0;"31576"
"3405";135;1;0;"STUTSHOVED SØNDRE";10.3;273.0;63.4;0.0;5.7;4.6;"171278"
"1122";58;1;0;"HÅLAND";99.1;0.0;254.0;24.6;1.3;73.2;"185726"
"3405";167;2;0;"JØRSTAD ØVRE";83.5;184.0;8.0;69.0;0.0;14.5;"127043"
"1122";19;14;0;"Madlandsvassdraget";0.0;0.0;2.0;0.0;0.0;0.0;"132416"
"3405";135;2;0;"STUTSHOVED SØNDRE MED STØLA";30.8;223.0;103.0;11.7;3.7;15.4;"171306"
"3405";65;1;0;"LANGSET NORDRE";0.0;1168.0;268.0;0.0;0.0;0.0;"171436"
"3405";134;4;0;"GRØNLIEN NORDRE";109.8;786.0;245.0;72.0;0.0;37.8;"171302"
"1120";14;39;0;"NYBREKKEN";221.0;2.4;30.5;141.0;0.0;80.0;"95974"
"1122";67;2;0;"BIRKEDAL";59.3;27.0;1474.0;21.5;0.0;37.8;"185737"
"1122";65;1;0;"MJÅLAND";103.0;216.0;2988.0;35.0;0.0;68.0;"31648"
"1122";18;16;0;"EGRO";23.5;5.0;581.0;23.5;0.0;0.0;"124847"
"1122";19;1;0;"SLETTEBØ";0.0;470.0;1471.0;0.0;0.0;0.0;"124848"
"1124";26;1;0;"HARVELAND";46.2;0.0;21.8;39.2;0.0;7.0;"101557"
"1120";33;12;0;"SALTE STORE";315.1;4.6;44.0;250.0;0.0;65.1;"91736"
"1122";66;2;0;"MOTLAND";94.0;97.0;4245.0;38.0;0.0;56.0;"185735"
"1122";68;1;0;"MAUDAL ØVRE";160.7;399.0;31455.0;52.7;0.0;108.0;"185741"
"1122";66;1;0;"MOTLAND";107.0;81.0;4235.0;55.0;0.0;52.0;"154287"
"1122";68;6;0;"JENSEHEIEN";64.8;75.8;1292.0;0.0;0.0;64.8;"152421"
"1122";68;2;0;"MAUDAL ØVRE";0.0;0.0;601.0;0.0;0.0;0.0;"31649"
"1122";68;7;0;"MAUDAL ØVRE";65.5;30.7;33.0;65.4;0.0;0.1;"152421"
"1122";68;12;0;"MAUDAL ØVRE";1.9;24.0;26.0;1.8;0.0;0.1;"31656"
"1122";68;23;0;"FOSSLID";60.8;0.6;7.0;50.8;0.0;10.0;"152434"
"1122";68;9;0;"MAUDAL ØVRE";0.0;31.5;11.0;0.0;0.0;0.0;"31656"
"1122";68;17;0;"MAUDAL";109.1;6.0;39.0;54.1;0.0;55.0;"152422"
"3436";273;11;0;"SOLLI";19.0;0.0;3.0;19.0;0.0;0.0;"169407"
"1122";70;3;0;"VATNE";0.0;65.0;46.0;0.0;0.0;0.0;"195360"
"1122";67;3;0;"BIRKEDAL";192.0;80.0;1327.0;22.7;0.0;169.3;"185738"
"4225";7;1;0;"RÆVØ INDRE";42.0;13.0;240.0;4.0;2.0;36.0;"240078"
"1122";67;4;0;"BIRKEDAL";0.0;122.0;1269.0;0.0;0.0;0.0;"185739"
"3405";50;1;0;"LYSGÅRD";240.6;0.0;813.0;240.6;0.0;0.0;"208027"
"1122";67;11;0;"BYRKJEDAL";85.2;211.0;1404.0;37.7;0.0;47.5;"185740"
"3437";194;5;0;"FAUKSTAD SØRIGÅRD";211.9;845.4;2629.0;99.8;0.1;112.0;"107006"
"1124";35;3;0;"RØINEBERG";132.2;0.0;12.5;111.0;0.0;21.2;"131371"
"3405";50;112;0;"SKREFSRUD MIDTRE";9.0;22.0;3.0;0.0;0.0;9.0;"243876"
"3437";194;1;0;"ØDEGÅRDEN";107.3;2360.0;2888.0;64.3;0.3;42.7;"72199"
"3437";194;2;0;"FAUKSTAD OPPISTUEN";0.0;0.0;1.0;0.0;0.0;0.0;"72199"
"1122";70;2;0;"VATNE";0.0;123.0;114.0;0.0;0.0;0.0;"185745"
"1122";70;6;0;"VATNELI";0.0;193.0;33.0;0.0;0.0;0.0;"185743"
"3436";276;6;0;"SKOGSTYKKET";4.0;47.0;65.0;0.0;0.0;4.0;"169456"
"4227";45;1;0;"LONDAL NEDRE";0.0;0.0;0.0;0.0;0.0;0.0;"94245"
"1122";70;4;0;"VATNE";18.3;125.0;72.0;0.0;0.0;18.3;"195361"
"1122";70;5;0;"VATNE";0.1;183.0;47.0;0.0;0.0;0.1;"185744"
"3407";11;20;0;"NYAASENS UTMARK";0.0;0.0;0.0;0.0;0.0;0.0;"157029"
"1124";17;24;0;"NYGAARD";17.0;0.0;1.0;17.0;0.0;0.0;"31617"
"1122";22;12;0;"SOLVANG";153.8;52.0;136.0;135.7;0.0;18.1;"185816"
"1121";46;47;0;"NYLAND";359.7;5.5;94.1;195.0;13.7;151.0;"119290"
"1124";17;39;0;"SØRGAARD";4.0;0.0;0.0;4.0;0.0;0.0;"31617"
"1122";22;8;0;"NORDHEI";363.0;185.4;1518.5;95.0;0.0;268.0;"156011"
"4225";7;3;0;"BORGE";38.0;14.0;250.0;4.0;2.0;32.0;"242178"
"3405";186;6;0;"SVEEN";55.5;176.0;74.6;55.5;0.0;0.0;"171186"
"3405";186;1;0;"SØR-HOVE";180.5;2117.0;309.0;163.0;0.0;17.5;"171182"
"3437";181;89;0;"NYBORG";106.8;244.0;15.0;54.8;0.0;52.0;"218193"
"1124";28;36;0;"NORHEIM";47.0;0.0;0.0;47.0;0.0;0.0;"101558"
"1122";27;4;0;"GJESDAL";362.8;105.2;340.0;214.0;2.8;146.0;"185829"
"3405";97;2;0;"STUEN";1.4;64.0;19.0;0.0;0.0;1.4;"85347"
"1120";24;29;0;"FREDHEIM";88.0;0.0;16.0;88.0;0.0;0.0;"32090"
"1120";3;16;0;"TARALDRODLAA II";130.8;2.4;21.0;130.6;0.0;0.2;"32199"
"3437";195;1;0;"Slette";461.5;10277.1;8166.0;245.5;0.2;215.8;"12705"
"3405";101;1;0;"DALBY SØNDRE";153.8;608.0;66.3;112.8;3.8;37.2;"131851"
"1120";3;21;0;"FISKEBEKK III";157.0;3.2;37.0;157.0;0.0;0.0;"95722"
"4224";2;18;0;"FORGAARD";56.0;166.7;3503.0;31.0;0.0;25.0;"113529"
"1106";11;8;0;"VIKSE SØNDRE";42.8;114.0;74.0;0.4;23.6;18.8;"32422"
"1120";3;19;0;"SOLBAKKEN";114.3;5.4;15.0;105.0;0.0;9.3;"136105"
"1106";11;2;0;"VIKSE SØNDRE";139.9;114.0;223.0;30.2;8.3;101.4;"72874"
"1106";11;3;0;"VIKSE SØNDRE";110.5;90.0;49.0;23.4;8.5;78.6;"117508"
"1106";11;6;0;"VIKSE,SØNDRE";70.1;153.0;106.0;16.3;13.9;39.9;"32421"
"1106";11;9;0;"VIKSE,SØNDRE";84.8;111.0;65.0;10.4;17.1;57.3;"83267"
"1106";11;10;0;"VIKSE,SØNDRE";97.4;238.0;48.0;4.6;14.2;78.6;"130152"
"1106";11;23;0;"VIKSE SØNDRE";82.6;1.0;10.0;24.1;17.4;41.1;"152455"
"1106";11;20;0;"VIKSE,SØNDRE";48.4;87.0;63.0;0.0;22.6;25.8;"99285"
"1106";11;26;0;"HÅVÅS";28.3;69.0;100.0;5.5;5.9;16.9;"99285"
"3405";185;1;0;"SOLBERG";23.0;54.8;12.0;17.0;6.0;0.0;"171181"
"1119";26;8;0;"GJERDENE";43.1;0.0;4.0;28.0;2.3;12.8;"31955"
"1119";26;7;0;"BØ";195.8;13.4;29.0;129.1;0.0;66.7;"152438"
"4224";15;1;0;"HAAVERSTØL";27.6;0.0;2.0;16.9;0.0;10.7;"133309"
"5033";171;7;0;"GRØNLIEN";7.7;666.3;9508.0;2.9;0.0;4.8;"184941"
"4225";95;4;0;"BRYGGEN";2.0;0.0;0.8;0.0;0.0;2.0;"94084"
"4205";707;5;0;"DERNEE";39.3;0.0;415.0;36.8;2.5;0.0;"90639"
"1119";26;12;0;"BØ";177.4;0.0;41.0;137.2;0.0;40.2;"206838"
"4205";437;3;0;"REME VESTRE";4.1;38.0;13.0;4.1;0.0;0.0;"235207"
"4205";439;3;0;"IMSA VESTRE";0.0;0.0;0.0;0.0;0.0;0.0;"29914"
"3405";182;4;0;"NORD-HOVE SØNDRE";50.3;562.0;84.6;31.5;0.0;18.8;"171172"
"3405";85;12;0;"HOTELTOMTEN";0.0;0.0;1.0;0.0;0.0;0.0;"171403"
"4227";57;1;0;"GAUKSDAL";29.0;152.0;880.0;13.0;5.0;11.0;"157493"
"4224";25;1;0;"SMEDLAND";51.3;718.0;1417.0;42.6;0.0;8.7;"29568"
"1119";26;20;0;"BØ";206.9;0.9;33.0;124.6;0.0;82.3;"152173"
"1119";26;53;0;"SOLBAKKEN";255.9;8.3;11.0;148.6;0.0;107.3;"152441"
"1119";26;15;0;"SKATTEBERGET";183.3;55.5;15.0;152.5;0.0;30.8;"194243"
"4205";462;7;0;"FJELDSKAAR INDRE";4.0;11.4;174.0;0.0;1.0;3.0;"29963"
"5006";56;1;0;"OPPEM";200.0;595.0;33.0;112.0;0.0;88.0;"116243"
"4205";371;1;0;"HAGEHEIEN";0.0;77.0;13.0;0.0;0.0;0.0;"109303"
"1111";64;2;0;"BARSTAD";146.7;69.4;191.0;29.5;4.3;112.9;"208892"
"4224";26;6;0;"TORSLAND";157.5;1321.5;2690.7;150.4;6.9;0.2;"113531"
"1119";26;14;0;"BØ";0.1;0.0;4.0;0.1;0.0;0.0;"124827"
"5006";131;2;0;"FJESME";139.0;1036.0;1444.0;136.0;0.0;3.0;"177586"
"1111";64;3;0;"BARSTAD ØSTRE";22.7;49.8;96.0;2.4;14.3;6.0;"194397"
"1114";48;1;0;"VEEN";251.2;479.9;6940.0;133.7;0.0;117.5;"194280"
"3407";130;7;0;"ROTERUD";0.0;0.0;0.0;0.0;0.0;0.0;"207841"
