ID;KOMNR;GARDSNR;BRUKSNR;FESTENR;BRUKSNAVN;JORDBRUKSAREAL;ANNETAREAL;SKOGAREAL;FULLDYRKET;OVERFLATEDYRKET;INNMARKSBEITE
"144800";"4626";33;13;0;"KOLLTVEIT";2.9;6.9;4.1;2.9;0.0;0.0
"144801";"4626";36;324;0;"GJERDET";2.6;3.1;0.0;1.1;0.0;1.5
"144806";"4626";41;8;0;"VALEN";1.0;55.6;2.7;0.0;0.0;1.0
"128246";"4626";41;58;0;"FREDLY";1.7;13.8;2.7;1.7;0.0;0.0
"152337";"4627";8;608;0;"GARDATUN";0.0;0.9;0.0;0.0;0.0;0.0
"152348";"4627";9;10;0;"FREDBO";7.4;0.0;0.0;7.4;0.0;0.0
"145512";"4627";9;17;0;"KLEPPE NEDRE";8.3;0.0;0.0;6.2;0.0;2.1
"145521";"4627";9;157;0;"FJELLTUN";0.0;1.0;0.0;0.0;0.0;0.0
"145531";"4627";10;37;0;"SALAMONSHAUGEN";0.0;2.8;0.0;0.0;0.0;0.0
"133961";"4627";14;2;0;"HORSØEN";0.0;205.3;26.0;0.0;0.0;0.0
"120792";"4627";14;20;0;"KRÅKÅS";9.9;2.4;0.0;1.3;5.3;3.3
"37339";"4627";16;37;0;"NYLAND";0.0;2.3;0.0;0.0;0.0;0.0
"199041";"4627";16;136;0;"SOLHEIM";0.7;0.0;0.0;0.0;0.7;0.0
"135320";"4627";16;178;0;"RAVNANGER";0.0;4.6;0.0;0.0;0.0;0.0
"111820";"4627";16;211;0;"KOLBEINSMYR";0.0;18.1;64.2;0.0;0.0;0.0
"199042";"4627";16;340;0;;5.9;0.8;0.2;5.9;0.0;0.0
"77464";"3420";101;43;0;"ELVHØI";0.0;10.3;28.9;0.0;0.0;0.0
"77466";"3420";101;45;0;"KORTGAARD";1.6;10.0;47.1;1.6;0.0;0.0
"199406";"4627";19;2;0;"DALEN NORDRE";3.7;74.6;0.0;0.8;0.0;2.9
"85853";"3420";101;49;0;"GRØNVOLL II";0.0;16.6;26.6;0.0;0.0;0.0
"117933";"3420";153;30;0;"KLOKKERSVEEN";97.0;12.4;212.6;96.9;0.0;0.1
"130689";"4627";21;94;0;"VESTBØ";1.9;0.4;0.5;0.0;0.0;1.9
"142763";"4627";29;1;0;"FROMREIDE NEDRE";0.0;445.5;113.5;0.0;0.0;0.0
"115755";"4627";32;87;0;"ALMEMYR";0.0;9.0;14.7;0.0;0.0;0.0
"148402";"4627";42;5;0;"MERKESVIKEN";5.1;0.0;6.7;2.8;2.3;0.0
"131487";"4627";42;49;0;"HERDLA FLYPLASS";214.7;206.8;70.5;147.2;41.5;26.0
"137508";"1573";39;4;0;"KJØNNHAUG";23.7;0.0;0.0;0.0;0.0;23.7
"137509";"1573";39;29;0;"SOLSTRAND";13.8;199.9;0.0;0.0;0.0;13.8
"116877";"1573";48;57;0;"BJERKNES";0.0;0.2;0.0;0.0;0.0;0.0
"137514";"1573";65;7;0;"ØVERHEIM";0.5;121.5;0.0;0.0;0.0;0.5
"132040";"3203";235;21;0;"MANGEN";4.8;2.0;4.9;4.8;0.0;0.0
"202287";"1108";62;1509;0;;0.0;0.8;0.0;0.0;0.0;0.0
"116791";"3420";153;31;0;"SØRBY";22.1;7.0;32.1;22.1;0.0;0.0
"202290";"1108";67;97;0;;0.0;50.3;1.1;0.0;0.0;0.0
"202291";"1108";67;205;0;;0.0;9.0;0.0;0.0;0.0;0.0
"202292";"1108";69;367;0;"FREDLY";0.0;0.5;0.0;0.0;0.0;0.0
"202247";"1108";69;2266;0;"TOMT NR 716";0.0;0.5;0.0;0.0;0.0;0.0
"202202";"1108";69;2317;0;;0.0;0.6;0.0;0.0;0.0;0.0
"202203";"1108";69;2409;0;;0.0;1.1;0.0;0.0;0.0;0.0
"209551";"1108";69;2543;0;;0.0;21.4;0.0;0.0;0.0;0.0
"138949";"3420";25;74;0;"FLÅTESTØEN SØNDRE";16.0;4.8;11.0;16.0;0.0;0.0
"161077";"3420";25;81;0;"REKSTAD";15.4;7.2;298.6;15.4;0.0;0.0
"102748";"3420";25;82;0;"NERLI";4.8;1.5;2.2;4.8;0.0;0.0
"121228";"1108";71;22;0;"BORGEN";4.7;6.5;8.4;4.7;0.0;0.0
"202204";"1108";71;59;0;"SELVIK";0.0;3.3;1.6;0.0;0.0;0.0
"202205";"1108";71;63;0;;11.5;5.1;8.0;0.0;0.0;11.5
"202206";"1108";72;97;0;"FREDHEIM";1.3;5.0;0.0;0.0;1.2;0.1
"118125";"1108";77;4;0;"NORDLAND";381.4;274.8;61.8;179.4;1.6;200.4
"121229";"1108";97;15;0;"LANGBAKKEN";8.6;0.0;266.8;7.3;0.0;1.3
"202208";"1108";97;24;0;"HAMMER";1.4;2.8;1.0;1.3;0.1;0.0
"202211";"1108";101;540;0;"HOMMERSÅK";0.0;0.9;16.8;0.0;0.0;0.0
"202213";"1108";109;702;0;"TOMT 357";0.0;0.4;0.0;0.0;0.0;0.0
"238023";"5037";224;17;0;"Mauveglia 39";0.0;4.1;0.1;0.0;0.0;0.0
"97887";"1108";110;44;0;"SØRVIK";28.4;5.1;2.7;8.5;0.0;19.9
"79336";"1103";3;29;0;"Vestmark";55.5;46.0;17.9;33.6;0.0;21.9
"228770";"3420";25;88;0;"BRANDSBRUA";2.8;3.7;0.8;1.6;0.0;1.2
"202218";"1103";5;603;0;;4.5;3.8;17.7;1.6;0.0;2.9
"202219";"1103";5;819;0;;3.0;7.5;0.0;3.0;0.0;0.0
"202220";"1103";5;960;0;;0.0;24.4;4.6;0.0;0.0;0.0
"202223";"1103";7;14;0;;12.8;9.1;4.5;0.9;11.9;0.0
"202224";"1103";7;476;0;;20.1;2.2;1.3;20.1;0.0;0.0
"202227";"1103";15;48;0;;0.0;83.0;13.2;0.0;0.0;0.0
"119634";"1103";16;39;0;;5.8;0.6;0.0;5.8;0.0;0.0
"202229";"1103";16;88;0;"Austtun";0.2;11.6;28.0;0.0;0.0;0.2
"202232";"1103";17;604;0;"Evje";3.5;2.4;0.0;3.5;0.0;0.0
"202233";"1103";18;4;0;"Hagen";74.9;56.0;275.1;6.1;19.6;49.2
"202234";"1103";18;6;0;"Auklend";0.0;0.5;0.0;0.0;0.0;0.0
"120727";"1103";18;9;0;"Auklend";0.5;2.5;0.1;0.1;0.2;0.2
"120728";"1103";18;573;0;;14.6;0.9;4.5;11.6;1.4;1.6
"120730";"1103";24;14;0;;42.6;31.6;2.9;42.6;0.0;0.0
"202235";"1103";24;32;0;"Middalhov";4.0;0.9;0.0;1.5;0.0;2.5
"202236";"1103";24;50;0;"Høyland";30.8;0.5;17.7;0.0;17.6;13.2
"202237";"1103";24;140;0;"Kringkastingstufta";9.2;16.1;20.9;9.2;0.0;0.0
"202238";"1103";25;1;0;"Øvre Tjensvoll";0.0;30.9;2.3;0.0;0.0;0.0
"202239";"1103";25;8;0;"Øvre Tjensvoll";0.0;1.8;0.0;0.0;0.0;0.0
"120731";"1103";25;49;0;"Ruslero";0.0;0.2;0.0;0.0;0.0;0.0
"120733";"1103";28;1;0;"Øvre Tasta";19.5;1.7;0.1;19.5;0.0;0.0
"5711";"1103";28;185;0;"Brattebø";0.0;0.9;0.0;0.0;0.0;0.0
"132221";"1103";29;36;0;;16.4;3.3;0.0;16.4;0.0;0.0
"202245";"1103";31;17;0;;8.3;1.6;0.0;8.3;0.0;0.0
"120631";"1149";93;109;0;;0.0;0.7;0.0;0.0;0.0;0.0
"120636";"1149";95;7;0;"SØRLIE";2.9;0.1;0.0;0.0;2.9;0.0
"120639";"1149";98;4;0;"ØSTEVIK";0.0;1.5;2.6;0.0;0.0;0.0
"120492";"1149";106;2;0;"FOSNENESET";13.2;36.4;48.0;5.1;0.0;8.1
"120495";"1149";109;8;0;"PLADS SKOKKENE";8.6;62.0;96.6;8.6;0.0;0.0
"148297";"1149";111;1;0;"HØVRINGSØ";7.5;0.0;0.0;0.0;5.3;2.2
"120500";"1149";117;8;0;"FURULUND";3.9;2.5;0.0;0.0;0.0;3.9
"120501";"1149";117;12;0;"BÆRTUN";4.4;17.8;19.6;4.3;0.0;0.1
"120502";"1149";117;138;0;;0.0;1.1;0.6;0.0;0.0;0.0
"120505";"1149";119;22;0;"NORDTUN";10.0;3.9;20.8;5.9;4.1;0.0
"197852";"1149";119;449;0;;20.5;5.5;0.0;14.1;0.0;6.4
"195105";"1149";122;1;0;"RØKSUND";10.4;6.8;24.1;0.8;0.0;9.6
"120510";"1149";123;9;0;"NESET";11.7;30.5;5.9;2.6;0.1;9.0
"120593";"1149";133;32;0;"STRØMSNES";51.1;1.7;0.0;0.0;0.0;51.1
"120611";"1149";140;4;0;"RABBEN";2.7;2.3;1.8;1.5;1.2;0.0
"156903";"1149";142;190;0;"STORESUND III";0.0;0.9;0.0;0.0;0.0;0.0
"156907";"1149";144;54;0;;0.0;1.0;0.0;0.0;0.0;0.0
"156923";"1149";149;138;0;"SPANNE";10.6;30.0;4.8;0.0;0.0;10.6
"117853";"1151";31;1;0;"KVALVIK";32.6;96.2;0.0;5.8;0.0;26.8
"120630";"1160";44;7;0;"HEGGLUND";6.2;0.6;0.0;6.2;0.0;0.0
"156928";"1160";66;39;0;"FRIBORG";0.0;0.9;0.9;0.0;0.0;0.0
"156929";"1160";66;45;0;"VIKEDALSBANKEN";0.0;0.5;0.0;0.0;0.0;0.0
"156931";"1160";97;16;0;"FJELLTUN";0.0;3.2;0.0;0.0;0.0;0.0
"156932";"1160";102;16;0;;24.6;11.9;36.3;0.0;0.0;24.6
