orgnr;komnr;bygg_for_kg;bygg_sakorn_kg;erter_for_kg;erter_sakorn_kg;havre_for_kg;havre_sakorn_kg;hvete_for_kg;hvete_mat_kg;hvete_sakorn_kg;oljefro_kg;oljefro_sakorn_kg;rug_for_kg;rug_mat_kg;rug_sakorn_kg;rughvete_for_kg;rughvete_sakorn_kg
829515342;5053;46956;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
829571242;3442;18472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
829797992;3017;0;0;0;0;5029;0;0;0;0;0;0;0;0;0;0;0
830055592;3004;26355;0;57419;0;11520;0;0;0;0;0;0;0;0;0;0;0
830131612;3034;10751;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
830157182;3120;0;0;0;0;21465;0;55856;0;0;0;0;0;0;0;0;0
830297952;3909;0;0;0;0;0;0;23451;13123;0;0;0;0;0;0;0;0
830297952;3805;7002;0;0;0;0;0;8439;19794;0;15316;0;0;52437;0;0;0
830303022;5001;91041;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
830513582;3048;20315;0;0;0;53435;0;0;0;0;0;0;0;0;0;0;0
830533702;3014;0;0;0;0;14403;0;24102;0;0;0;0;0;0;0;0;0
830598502;3805;21568;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
830618082;3443;11915;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
830620702;3442;52831;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
830661212;3039;0;0;0;0;29552;0;0;0;0;0;0;0;0;0;0;0
830690972;5036;49032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
830775382;3001;24882;0;0;0;11491;0;0;0;0;0;0;0;0;0;0;0
830775382;3101;75149;0;0;0;42044;0;0;0;0;0;0;0;0;0;0;0
830794972;5001;52529;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
831037202;3004;53879;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
831207752;3802;35080;0;0;0;0;0;40109;54058;0;17694;0;13869;0;0;0;0
831600462;3332;0;0;0;0;40652;0;7031;0;0;0;0;0;0;0;0;0
832732532;3805;9383;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
841449002;3003;0;0;0;0;16982;0;0;0;0;0;0;0;0;0;0;0
855607352;3045;0;0;0;0;32291;0;0;0;0;0;0;0;0;0;0;0
855619172;3443;191720;0;0;0;21337;0;0;0;0;0;0;0;0;0;0;0
856406792;3006;21992;0;0;0;44629;0;0;0;0;0;0;0;0;0;0;0
863373662;3025;0;0;0;0;0;0;0;0;0;0;0;9812;0;0;0;0
865024312;3803;0;0;0;0;0;0;41652;0;0;0;0;0;0;0;0;0
869054712;3016;72191;0;0;0;20970;0;227469;34178;0;0;0;0;0;0;0;0
869090042;3007;0;0;0;0;20864;0;0;0;0;0;0;0;0;0;0;0
869090972;3003;3833;0;0;0;0;0;0;11169;0;0;0;0;0;0;0;0
869091022;3020;49094;0;0;0;0;97016;0;0;0;0;0;0;0;0;0;0
869091502;3001;0;0;0;0;1051;0;22804;0;0;0;0;0;0;0;0;0
869091782;3003;21986;0;0;0;0;0;27214;0;0;0;0;0;0;0;0;0
869092762;3015;7498;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869093262;3018;82142;0;0;0;0;0;54730;0;0;0;0;0;0;0;0;0
869096822;3035;72036;0;0;0;10538;0;11583;0;0;0;0;0;0;0;0;0
869097632;3034;125157;0;0;0;122899;0;93938;0;0;0;0;0;0;0;0;0
869097942;3034;56712;0;0;0;34265;0;0;0;0;0;0;0;0;0;0;0
869097942;3228;0;0;0;0;0;0;8104;0;0;0;0;0;0;0;0;0
869098442;3020;64045;0;0;0;0;0;25033;0;0;0;0;0;0;0;0;0
869098892;3034;0;0;0;0;0;0;64738;0;0;0;0;19464;0;0;0;0
869099252;3030;0;0;0;0;12090;0;0;0;0;0;0;0;0;0;0;0
869099252;3205;100815;0;0;0;117386;0;0;0;0;0;0;0;0;0;0;0
869099422;3034;172687;0;0;0;247079;0;55220;0;0;0;0;0;0;0;0;0
869100102;3019;4477;0;0;0;0;0;15859;0;0;0;0;0;0;0;20384;0
869100382;3019;59498;0;0;0;25955;0;34169;0;0;0;0;0;0;0;0;0
869100722;3816;0;0;0;0;0;28144;0;0;0;0;0;0;0;0;0;0
869104922;3417;0;0;0;0;0;1600;0;0;0;0;0;0;0;0;0;0
869104922;3418;101138;0;0;0;87650;0;0;0;0;0;0;0;0;0;0;0
869105732;3411;0;0;0;0;0;0;0;0;160519;0;0;0;0;0;0;0
869106542;3413;73271;0;0;0;0;0;63902;0;0;0;0;0;0;0;0;0
869106992;3416;15807;0;0;0;21558;0;0;0;0;0;0;11970;0;0;0;0
869108332;3413;155845;0;0;0;6346;0;0;0;0;0;0;0;0;0;0;0
869108642;3424;115061;0;0;0;20957;0;0;0;0;0;0;0;0;0;0;0
869109002;3412;124218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869109142;3419;60702;0;0;0;114896;0;0;0;0;0;0;0;0;0;0;0
869110752;3447;18096;0;0;0;0;0;0;0;0;0;0;14841;0;0;0;0
869114502;3442;35651;0;0;0;0;0;0;0;3600;0;0;0;0;0;0;0
869117072;3804;5109;0;0;0;0;0;0;0;0;222;0;0;65195;0;0;0
869117242;3804;11412;0;0;0;0;0;15617;0;0;0;0;0;0;0;0;0
869118052;3805;12633;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869126802;1535;32593;0;0;0;23688;0;10409;0;0;0;0;0;0;0;0;0
869134112;5058;33006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869135542;5057;709711;0;0;0;46097;0;0;0;0;0;0;0;0;0;0;0
869135992;5029;97034;0;0;0;7183;0;0;0;0;0;0;0;0;0;0;0
869146692;3014;7748;0;0;0;0;0;6207;0;0;0;0;0;0;0;0;0
869147702;3418;371792;1800;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869153672;5037;63283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869155012;5037;197705;0;0;0;0;0;122383;82837;0;0;0;0;0;0;0;0
869162272;3007;0;0;0;0;0;0;40909;0;0;0;0;0;0;0;0;0
869162612;3006;26093;0;0;0;40361;0;0;0;0;0;0;0;0;0;0;0
869175242;3054;1162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869175242;3234;50876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
