orgnr;komnr;hvete_mat;hvete_for;hvete_sakorn;rug_mat;rug_for;rug_sakorn;bygg;bygg_sakorn;havre;havre_sakorn;rughvete;rughvete_sakorn;erter;erter_sakorn;oljefro;oljefro_sakorn
919132914;3118;0;117528;0;0;0;0;194500;0;196327;0;0;0;35740;0;0;0
919501995;3443;0;0;0;0;0;0;58842;0;0;0;0;0;0;0;0;0
919598468;4206;0;0;0;0;0;0;25527;0;8731;0;0;0;0;0;0;0
919613882;5059;0;0;0;0;0;0;80722;0;0;0;0;0;0;0;0;0
919731680;3427;0;0;0;0;0;0;0;0;26652;0;0;0;0;0;0;0
919902280;3107;83335;52267;0;0;0;0;0;0;0;0;0;0;30038;0;0;0
919939672;3909;0;29629;0;0;0;0;0;0;0;0;0;0;0;0;0;0
919950293;3418;0;0;0;0;0;0;0;0;74792;0;0;0;0;0;0;0
920039359;5054;0;0;0;0;0;0;47086;0;0;0;0;0;0;0;0;0
920131565;3411;0;0;70599;0;0;0;0;0;0;0;0;0;0;0;0;0
920151450;3316;0;0;0;0;0;0;0;0;75634;0;0;0;0;0;0;0
920162983;3418;0;0;0;0;0;0;0;0;23610;0;0;0;0;0;0;0
920191630;3207;0;0;0;0;0;0;61994;0;47642;0;0;0;0;0;0;0
920244955;3205;0;0;0;0;0;0;0;0;112454;0;0;0;0;0;0;0
920246257;3416;0;0;0;0;0;0;69464;0;29998;0;0;0;13417;0;0;0
920406920;5047;0;0;0;0;0;0;57822;0;0;0;0;0;0;0;0;0
920429858;3205;0;0;0;0;0;0;0;0;32344;0;0;0;0;0;0;0
920472222;3101;41142;720;0;0;0;0;50593;0;0;0;0;0;31200;0;0;0
920495354;3303;0;8062;0;0;0;0;52468;0;30721;0;0;0;0;0;0;0
920532276;3218;0;0;0;0;0;0;3086;0;52411;0;0;0;0;0;29664;0
920558003;3118;0;0;0;0;0;0;0;0;76396;0;0;0;0;0;0;0
920607748;3205;0;0;0;0;0;0;0;0;103549;0;0;0;0;0;0;0
920657877;3336;0;0;0;0;0;0;0;0;29193;0;0;0;0;0;0;0
920679587;4003;0;0;0;0;0;0;0;0;0;0;0;0;21736;0;0;0
920907253;3447;0;0;0;0;0;0;20160;0;27832;0;0;0;0;0;0;0
920912206;5007;0;0;0;0;0;0;134730;0;0;0;0;0;0;0;0;0
920954200;5035;0;0;0;0;0;0;5234;0;0;0;0;0;0;0;0;0
920998879;3416;0;82650;0;0;0;0;874992;0;319960;0;0;0;0;0;0;0
921056753;3415;0;44194;0;0;0;0;199907;0;176433;0;0;0;0;0;0;0
921180985;5054;0;0;0;0;0;0;0;0;39289;0;0;0;0;0;0;0
921401760;3120;0;0;0;0;0;0;0;0;115965;0;0;0;0;0;0;0
921520719;5001;0;0;0;0;0;0;78777;0;0;0;0;0;0;0;0;0
921665180;1124;0;0;0;0;0;0;22709;0;0;0;0;0;0;0;0;0
921710747;4003;0;0;0;0;0;0;59674;0;0;0;0;0;17929;0;0;0
921820771;3316;35471;9430;0;0;0;0;0;0;11451;0;0;0;0;0;0;0
922051925;3334;0;71573;0;0;0;0;160620;0;146188;0;0;0;0;0;0;0
922058849;4020;0;16105;0;0;0;0;0;0;78682;0;0;0;0;0;0;0
922065276;5047;0;0;0;0;0;0;12545;0;0;0;0;0;0;0;0;0
922073716;3442;0;23349;0;0;0;0;59661;0;84000;0;0;0;0;0;0;0
922101825;5001;0;0;0;0;0;0;506059;0;0;0;0;0;0;0;0;0
922123004;3907;0;114197;0;46304;0;0;256810;0;0;0;0;0;0;0;62082;0
922185964;3403;0;0;0;0;0;0;75749;0;25158;0;0;0;0;0;0;0
922190801;3905;0;82155;0;0;0;0;0;0;0;0;0;0;0;0;0;0
922193134;3436;0;0;0;0;0;0;75951;0;0;0;0;0;0;0;0;0
922542767;5035;0;0;0;0;0;0;46189;0;0;0;0;0;0;0;0;0
922543526;3120;29894;0;0;0;0;0;56492;0;74171;0;0;0;0;0;0;0
922674256;3905;0;1152;0;0;0;0;0;0;0;0;0;0;0;0;0;0
922740704;3909;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10961;0
922861471;4003;0;0;0;0;0;0;13653;0;0;0;0;0;0;0;0;0
923054081;3318;0;72852;0;0;0;0;29305;0;82633;0;0;0;0;0;0;0
923330925;3442;0;0;0;0;0;0;22920;0;0;0;0;0;0;0;0;0
923424466;5035;0;0;0;0;0;0;97823;0;34535;0;0;0;0;0;0;0
923439951;3903;0;80610;0;0;0;0;0;0;0;0;0;0;0;0;46176;0
923557377;3112;0;0;0;0;0;0;0;0;53675;0;0;0;0;0;0;0
923699600;3909;0;20143;0;0;0;0;0;0;0;0;0;0;0;0;0;0
923749861;5035;0;14523;0;0;0;0;78944;0;26842;0;0;0;0;0;0;0
923813101;3214;0;0;0;0;0;0;65626;0;66496;0;0;0;0;0;0;0
923822887;3124;0;79262;0;0;0;0;63672;0;59805;0;0;0;0;0;0;0
923827722;3403;0;138101;0;0;0;0;88744;0;75079;0;0;0;17590;0;0;0
923851372;5037;18852;0;0;0;0;0;11446;0;0;0;0;0;0;0;0;0
923873384;3314;0;0;0;0;0;0;0;0;52833;0;0;0;0;0;0;0
924275510;1124;0;0;0;0;0;0;39094;0;0;0;0;0;0;0;0;0
924369981;3332;0;43167;0;0;0;0;204122;0;163118;0;0;0;0;0;0;0
924409576;1120;0;0;0;0;0;0;21303;0;0;0;0;0;0;0;0;0
924428740;3114;0;98258;0;0;0;0;0;0;64172;0;0;0;0;0;0;0
